,name,value,error
0,Norm_HuV,4.922551238,0.049225512
1,alpha_HuV,0.21635596,0.00216356
2,beta_HuV,3.228702555,0.032287026
3,alphap_HuV,2.349193947,0.023491939
4,Norm_Hubar,0.163440601,0.001634406
5,alpha_Hubar,1.135738688,0.011357387
6,beta_Hubar,6.896742038,0.06896742
7,alphap_Hqbar,0.15,0.0015
8,Norm_HdV,3.358541913,0.033585419
9,alpha_HdV,0.184196049,0.00184196
10,beta_HdV,4.41726899,0.04417269
11,alphap_HdV,3.475742056,0.034757421
12,Norm_Hdbar,0.249183402,0.002491834
13,alpha_Hdbar,1.051922382,0.010519224
14,beta_Hdbar,6.548676693,0.065486767
15,Norm_Hg,2.864281106,0.028642811
16,alpha_Hg,1.052305853,0.010523059
17,beta_Hg,7.412779844,0.074127798
18,alphap_Hg,0.15,0.0015
19,Norm_EuV,0.161159704,0.001611597
20,alpha_EuV,0.916012032,0.00916012
21,beta_EuV,1.02239598,0.01022396
22,alphap_EuV,0.41423421,0.004142342
23,Norm_EdV,-0.198595321,0.001985953
24,R_E_Sea,0.723201494,0.12336228
25,R_Hu_xi2,-0.932802479,0.031993464
26,R_Hd_xi2,0,0.1
27,R_Hg_xi2,0,0.1
28,R_Eu_xi2,9.077625049,0.882972418
29,R_Ed_xi2,0,0.1
30,R_Eg_xi2,0,0.1
31,R_Hu_xi4,0.254871024,0.009826526
32,R_Hd_xi4,0,0.1
33,R_Hg_xi4,0,0.1
34,R_Eu_xi4,-2.511168809,0.262715899
35,R_Ed_xi4,0,0.1
36,R_Eg_xi4,0,0.1
37,bexp_HSea,4.691556346,0.227182792
38,Norm_HtuV,4.529773253,0.045297733
39,alpha_HtuV,-0.246812532,0.002468125
40,beta_HtuV,3.037043159,0.030370432
41,alphap_HtuV,2.607360484,0.026073605
42,Norm_Htubar,0.076575866,0.000765759
43,alpha_Htubar,0.516192897,0.005161929
44,beta_Htubar,4.369657188,0.043696572
45,alphap_Htqbar,0.15,0.0015
46,Norm_HtdV,-0.711694724,0.007116947
47,alpha_HtdV,0.210181857,0.002101819
48,beta_HtdV,3.243538578,0.032435386
49,alphap_HtdV,4.319727451,0.043197275
50,Norm_Htdbar,-0.057100694,0.000571007
51,alpha_Htdbar,0.612255908,0.006122559
52,beta_Htdbar,2.099180441,0.020991804
53,Norm_Htg,0.243247279,0.002432473
54,alpha_Htg,0.630824175,0.006308242
55,beta_Htg,2.71840147,0.027184015
56,alphap_Htg,0.15,0.0015
57,Norm_EtuV,9.065736349,0.090657363
58,alpha_EtuV,0.79999977,0.007999998
59,beta_EtuV,7.357005187,0.073570052
60,alphap_EtuV,2.083472023,0.02083472
61,Norm_EtdV,-3.562901039,0.03562901
62,R_Et_Sea,-99.99378369,3.372121929
63,R_Htu_xi2,-0.551492444,0.052090699
64,R_Htd_xi2,0,0.1
65,R_Htg_xi2,0,0.1
66,R_Etu_xi2,-8.387062324,0.378640861
67,R_Etd_xi2,0,0.1
68,R_Etg_xi2,0,0.1
69,R_Htu_xi4,0.107027725,0.016592841
70,R_Htd_xi4,0,0.1
71,R_Htg_xi4,0,0.1
72,R_Etu_xi4,2.103519715,0.11842261
73,R_Etd_xi4,0,0.1
74,R_Etg_xi4,0,0.1
75,bexp_HtSea,2.517094941,0.391451289
