y,xB,t,Q,f,delta f
0.022490999,4.76E-03,0.03,0.05,182,25.61249695
0.033602219,3.19E-03,0.03,0.05,208,26.90724809
0.046935683,2.28E-03,0.03,0.05,225,30.47950131
0.06249139,1.71E-03,0.03,0.05,321,41.77319715
0.080269342,1.33E-03,0.03,0.05,292,38.94868419
0.100269538,1.07E-03,0.03,0.05,326,43.18564576
0.122491977,8.75E-04,0.03,0.05,392,50.24937811
0.157336762,6.81E-04,0.03,0.05,376,45.27692569
0.230393032,4.65E-04,0.03,0.05,458,58
0.364005449,2.94E-04,0.03,0.05,537,73.53910524
0.700008734,1.53E-04,0.03,0.05,744,100.2397127
0.022490999,4.76E-03,0.1,0.05,115,18.02775638
0.033602219,3.19E-03,0.1,0.05,118,17.20465053
0.046935683,2.28E-03,0.1,0.05,169,23.43074903
0.06249139,1.71E-03,0.1,0.05,151,23.02172887
0.080269342,1.33E-03,0.1,0.05,178,25.61249695
0.100269538,1.07E-03,0.1,0.05,224,31.2409987
0.122491977,8.75E-04,0.1,0.05,224,32.80243893
0.157336762,6.81E-04,0.1,0.05,265,33.24154028
0.230393032,4.65E-04,0.1,0.05,267,37.01351105
0.364005449,2.94E-04,0.1,0.05,427,49.39635614
0.700008734,1.53E-04,0.1,0.05,573,80.05623024
0.022490999,4.76E-03,0.22,0.05,64.9,8.796590248
0.033602219,3.19E-03,0.22,0.05,69.6,9.209777413
0.046935683,2.28E-03,0.22,0.05,107.1,13.29360749
0.06249139,1.71E-03,0.22,0.05,93.4,12.54950198
0.080269342,1.33E-03,0.22,0.05,132,16.2788206
0.100269538,1.07E-03,0.22,0.05,135,16.97056275
0.122491977,8.75E-04,0.22,0.05,125,16.2788206
0.157336762,6.81E-04,0.22,0.05,142,16.2788206
0.230393032,4.65E-04,0.22,0.05,167,20.51828453
0.364005449,2.94E-04,0.22,0.05,202,26.57066051
0.700008734,1.53E-04,0.22,0.05,246,34.53983208
0.022490999,4.76E-03,0.45,0.05,35.5,4.750789408
0.033602219,3.19E-03,0.45,0.05,35.6,4.601086828
0.046935683,2.28E-03,0.45,0.05,34.3,4.763402146
0.06249139,1.71E-03,0.45,0.05,38.9,5.481788029
0.080269342,1.33E-03,0.45,0.05,41.4,5.685068161
0.100269538,1.07E-03,0.45,0.05,46.3,6.312685641
0.122491977,8.75E-04,0.45,0.05,48.5,6.824954212
0.157336762,6.81E-04,0.45,0.05,60.9,7.29177619
0.230393032,4.65E-04,0.45,0.05,51.5,6.952697318
0.364005449,2.94E-04,0.45,0.05,67,9.708243919
0.700008734,1.53E-04,0.45,0.05,71.6,11.23788236
0.022490999,4.76E-03,0.9,0.05,5.7,0.943398113
0.033602219,3.19E-03,0.9,0.05,5.5,0.860232527
0.046935683,2.28E-03,0.9,0.05,6.2,1.029563014
0.06249139,1.71E-03,0.9,0.05,7.1,1.252996409
0.080269342,1.33E-03,0.9,0.05,8.2,1.303840481
0.100269538,1.07E-03,0.9,0.05,7.5,1.303840481
0.122491977,8.75E-04,0.9,0.05,7.7,1.303840481
0.157336762,6.81E-04,0.9,0.05,8.2,1.220655562
0.230393032,4.65E-04,0.9,0.05,8.4,1.303840481
0.364005449,2.94E-04,0.9,0.05,10.7,2.024845673
0.700008734,1.53E-04,0.9,0.05,13.1,2.617250466
